Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
321,-0.01915811280429036,0.014049644894193136,0.02279309217524972,-0.03312835285929516,0.02748182989043979,-0.009559726414148706,0.05462064723050286,0.016582515379187424,0.0031160936310770104,-0.016863088189891684,-0.07190371471377333,-0.12440848742658339,0.034563878989013475,0.005609002388450968,0.008470740954077627,0.02832313962172872,-0.043693392103163475,-0.032631601233857666,0.005768752103978869,0.040646009278158424,0.01944349729069028,-0.032682738844521,0.03062173849828209,-0.008327886440816279,-0.056303374121371874,0.013129511195081989
322,-0.02410618821316346,-0.02303808347959002,-0.013633422132381945,-0.05908627891327223,0.01884873042992785,-0.034414782141711786,-0.00209455159755656,-0.028733476548931325,-0.013512682974527568,0.0028893095029469684,-0.021226752601885224,0.020028217152984418,-0.03395281509253856,-0.014252288654160505,-0.0038012784339556127,0.014762208139760702,-0.02289635933973999,0.008364912256086487,0.003869812257462968,-0.04937862802669235,0.0017913846905646125,-0.0042426880439783154,-0.03471321578624931,-0.03196739292664974,-0.043742796303019915,-0.00771358139583711
323,-0.03585073935814975,-0.044642996677642266,-0.04999185456591437,0.018094320396010666,-0.012459345211341954,-0.053713123571942134,-0.036408212735254075,-0.03165637525546661,-0.060934126674518474,0.004047045842279218,-0.050441306276786335,-0.05560182693021254,-0.03643401975127958,-0.02881096388864801,-0.03587519228306579,-0.016006355360450364,-0.0226313247466452,-0.03307948101969682,0.007710136668212186,-0.022425643551422958,-0.05378070478786068,-0.020037390719449988,-0.03718136947402595,-0.07714894814802431,-0.0031273241493563475,-0.010676428745468591
324,-0.061517552047016366,0.0530336286223978,0.018317631751535668,-0.046477116547548825,0.03867327135342924,-0.11190279663618874,0.04932653493927841,0.056644005519733476,-0.04531363474521344,-0.007371023831962198,-0.017871190622194888,-0.036627204226360455,0.0026071597751919917,0.04666375166842496,-0.06770332975204907,0.02973592701569716,-0.12586864856307045,-0.07553319429185956,0.057131372328224295,0.025234951307534725,4.4129776527235265e-05,-0.023777917499941736,-0.1257488751634348,0.002965513879065629,-0.03380168524061489,-0.0735588772913971
325,-0.04286335907944805,-0.018405555666691775,-0.014201344553145034,-0.050425524424497326,0.0338999773085078,-0.022135073395975535,0.04027334939976113,0.0030155783374219425,0.002220467531499404,0.047755331744240515,-0.03264408491753579,-0.04445822236397312,0.03234305524945413,0.012692121951660473,0.02653484890922675,0.024146418558965932,-0.07597471369310793,-0.010243710273910134,0.044619845379278766,-0.03944483235424223,-0.00805188028564463,-0.03858227753466603,-0.024009299883872126,0.05376900720693101,-0.011424431883165553,-0.006472853041981086
326,-0.004157640821311759,-0.001740345754517314,-0.006298505832981416,-0.03898715469185143,0.0358983629605647,-0.007267959756426023,-0.007141911463185657,-0.007856333398311044,-0.00660209996168204,-0.018591540440504595,-0.025918348953897663,-0.038076765895841636,-0.0035394722855950356,0.018174219733147368,0.015396375433534448,0.0010484691358452203,-0.005412107034521885,0.019577796568530648,-0.0007493994119807112,-0.03082732788002529,0.015274083534897898,-0.03151638897751674,-0.0401671418875722,-0.02462425907414101,-0.016661997956568975,-0.0342936379546801
327,-0.011129041640173032,-0.005125264633104365,0.011837997614588591,-0.03318161742998127,0.018401058178211027,-0.009314627066074888,0.020802139526749475,0.012940483464192631,0.02778850903561292,0.0274243507289067,-0.05274542563078777,-0.12281659121244815,0.0058105035380435766,0.013271717104071268,0.009293237390987308,0.0035741824137764944,-0.011288381945380177,-0.004942074936506113,0.0012469562113666122,-0.011785952311333059,-0.017879475712665904,-0.004255458476636775,-0.052518229985474285,-0.0281958771749915,0.00023048737150332954,-0.08487615175951646
331,-0.03861814986923395,-0.04900814036555756,-0.023002818418595528,-0.07285519165501153,0.054797206453827574,0.006750499648517039,0.14576435544253874,-0.05882321288111658,0.04611920756129795,0.003819014071743787,0.043401716814461366,-0.2362647639523905,0.1311248184763505,0.07380728449021001,-0.056769272986234576,0.011116320094913146,-0.022595389734130222,-0.03246309024035643,-0.0036936659903523683,0.026360452741108542,0.04179758917098164,-0.031210985772140987,-0.04865594210335367,0.056462376668583225,0.012969623324802004,-0.026048944450443035
332,-0.011217924947525937,-0.015307641305196906,0.014918559971101697,-0.034119073551318824,0.015146155338781053,0.0017970373485662883,-0.0015094519676428497,0.008673587736623745,0.02138368855601014,0.03335400462147309,0.000834475232473153,-0.08587325399403589,-0.0023272781332783765,0.021679376479061485,-0.012310908572596091,-0.011974061613210019,-0.017339084690259465,-0.014009615710270484,-0.008896167292296031,-0.003465554820561767,0.0022993691294299623,-0.011665579803369575,-0.04364948493104137,-0.008809869716847274,-0.06220799786610742,-0.042363306542678725
333,-0.01411763457876436,-0.010934145267481377,-0.020152317305345058,-0.03656849836018905,-0.027393438835888073,0.037690021271857166,0.0077517711476491336,0.012941216827296653,-0.03345009854382619,0.004902017141301673,0.00752614750066849,-0.03789820774562136,-0.0031682482284947078,0.047651667777326434,-0.028605592561362858,-0.03413645775964946,-0.013264912238416748,0.0021651166942850963,0.014640863414544736,-0.02962890905262361,-0.03548461434496453,-0.012939854753114322,-0.0017975137147598907,0.025213250565297773,-0.03918566688718972,0.0002524253161730883
