,Industry,main,main_closed,common_theta,common_theta_closed,main_minus_common,main_closed_minus_common_closed
18,Fabricated metal products,0.9813699072763703,0.9782788918892781,0.9811116153962909,0.9780405604337744,0.00025829188007941983,0.00023833145550367085
19,Machinery,0.9912628046187525,0.9877779598585373,0.991009743633044,0.9877324340044865,0.00025306098570854196,4.552585405082077e-05
50,Computer systems design and related services,0.995552830957546,0.9952802116632694,0.9953132027880741,0.9949511414950448,0.0002396281694718727,0.0003290701682245878
25,Miscellaneous manufacturing,0.992407521519899,0.9915856435652619,0.9922443616194448,0.9914546475893747,0.00016315990045412399,0.0001309959758871715
13,Petroleum and coal products,0.9810353598057523,0.9821629875255943,0.9808826553001864,0.9822531333911201,0.00015270450556592596,-9.014586552580361e-05
16,Nonmetallic mineral products,0.9952942030133816,0.994700249645801,0.9951680289461657,0.9945384986082576,0.00012617406721582292,0.00016175103754334508
36,Other transportation and support activities,0.9964388323799025,0.996332531233008,0.9963177436184104,0.9961818485656795,0.00012108876149208303,0.00015068266732853886
9,Apparel and leather and allied products,0.9922245970426842,0.9921101042148198,0.9921478657307927,0.9920123679869242,7.673131189145366e-05,9.773622789566172e-05
2,Oil and gas extraction,0.9786463709402704,0.9724646156175802,0.9785960312771528,0.9733199313920479,5.033966311762672e-05,-0.0008553157744676243
55,Ambulatory health care services,0.9735880515438162,0.9736121933944242,0.9735463335083938,0.9735661985760569,4.171803542241115e-05,4.599481836731201e-05
12,Printing and related support activities,0.9994899084368613,0.9994873540215069,0.9994496442717353,0.999447063016209,4.026416512592501e-05,4.029100529789886e-05
23,Other transportation equipment,0.9980531645710236,0.9980730185888247,0.9980250258623588,0.9980441112645408,2.813870866480439e-05,2.890732428384446e-05
37,Warehousing and storage,0.9985640800700339,0.9984262983564899,0.9985514239745203,0.9983832407279472,1.265609551359681e-05,4.3057628542730875e-05
30,Air transportation,0.9955103705025683,0.9955461353045855,0.9955035943439927,0.9955414312670736,6.776158575583224e-06,4.704037511849002e-06
54,Educational services,0.992970159708862,0.9929690241914747,0.9929635680974415,0.9929583331190917,6.591611420581067e-06,1.0691072383051115e-05
3,"Mining, except oil and gas",0.9942287815907295,0.9933449694529217,0.9942235789361932,0.9933461110243147,5.202654536295981e-06,-1.141571392970775e-06
33,Truck transportation,0.9994008989813556,0.9994004908347075,0.9993974686634067,0.9993971733613103,3.4303179489159064e-06,3.317473397213e-06
31,Rail transportation,0.9999629706537807,0.9999627872632094,0.9999629615337198,0.9999627326656881,9.120060928680118e-09,5.459752128178508e-08
35,Pipeline transportation,0.9999977853833443,0.9999977762128252,0.9999977887861393,0.9999977762127836,-3.4027950457371503e-09,4.1522341120980855e-14
29,General merchandise stores,0.9997519904698126,0.9997517051317054,0.9997521809207977,0.9997517049363034,-1.9045098509362646e-07,1.9540202789158911e-10
28,Food and beverage stores,0.9995480782456759,0.999547236619983,0.9995486123323803,0.999547235007625,-5.340867044179021e-07,1.6123580248716962e-09
32,Water transportation,0.999478625650361,0.9994806883015451,0.9994791849478452,0.9994806809745121,-5.592974841039933e-07,7.327032980342096e-09
27,Motor vehicle and parts dealers,0.9991396256371312,0.9991401269565111,0.99914076365422,0.9991401180521768,-1.1380170887864693e-06,8.904334269921321e-09
4,Support activities for mining,0.9979475529080536,0.9968228153545713,0.9979493643854761,0.9973436974740189,-1.811477422508645e-06,-0.0005208821194475632
38,Other retail,0.9989639509155845,0.998959840697708,0.9989660503212915,0.998959825727807,-2.0994057069456673e-06,1.4969901096506533e-08
58,Social assistance,0.994069550255248,0.9940699490856725,0.9940732556033115,0.9940698735219103,-3.7053480634874347e-06,7.556376213635474e-08
46,"Funds, trusts, and other financial vehicles",0.9957693682178933,0.9957376032266068,0.9957742037812108,0.995724271114212,-4.8355633175400925e-06,1.3332112394737194e-05
60,"Amusements, gambling, and recreation industries",0.9965166782978676,0.9965074567822273,0.996522588346117,0.996507316905776,-5.910048249346822e-06,1.3987645131052773e-07
57,Nursing and residential care facilities,0.9943467088504253,0.9943346971099826,0.9943529143528963,0.9943346170085776,-6.205502470990609e-06,8.010140495340323e-08
61,Accommodation,0.9937450223489773,0.9936744831925934,0.9937529588543889,0.9936457143035657,-7.936505411532124e-06,2.8768889027697142e-05
56,Hospitals,0.9795290697779723,0.9795497076701902,0.9795462117599374,0.97954821291722,-1.7141981965118624e-05,1.4947529701769824e-06
26,Wholesale trade,0.9972170988301325,0.9971317636007814,0.9972349138255471,0.9971334632231126,-1.7814995414533463e-05,-1.6996223312082392e-06
34,Transit and ground passenger transportation,0.997553219629979,0.9975465707237098,0.9975849507373266,0.9975597418312167,-3.173110734755458e-05,-1.3171107506870783e-05
15,Plastics and rubber products,0.9867509368196128,0.985884406974633,0.9867839442245443,0.9859525485865865,-3.3007404931506557e-05,-6.814161195356494e-05
62,Food services and drinking places,0.9757911753230287,0.975566561842734,0.9758275084035849,0.9754995720301599,-3.633308055617235e-05,6.698981257413639e-05
