i,theta_i,se_robust,t_stat,model
484,0.3072459175502017,0.11920967764580906,2.5773571711440932,i-theta_j-gamma
485,0.7819041176321745,0.1681823663274264,4.649144465656535,i-theta_j-gamma
486,0.41591657748038036,0.28021448618586803,1.4842793573652016,i-theta_j-gamma
487OS,0.4353519769880046,0.1568811276639798,2.775043649102748,i-theta_j-gamma
493,0.15923766323626656,0.1670952251047443,0.9529755451506636,i-theta_j-gamma
4A0,0.5593958806201756,0.14541479038374963,3.846898098494176,i-theta_j-gamma
511,0.9789280433942527,0.14875094924118817,6.580986866893848,i-theta_j-gamma
512,0.6286042826847731,0.2922965276528582,2.1505704762641793,i-theta_j-gamma
513,0.7913774861453978,0.20593973239291083,3.8427625254729127,i-theta_j-gamma
514,0.47323209291134627,0.2032612612896098,2.328196184107496,i-theta_j-gamma
521CI,0.4397227249479488,0.13664239180018264,3.2180549473326843,i-theta_j-gamma
523,0.5709925587196083,0.11139299228299346,5.125928902861357,i-theta_j-gamma
524,1.2350563727899695,0.5905336187652586,2.0914243212305808,i-theta_j-gamma
525,0.5779023307384126,0.4059613507062729,1.42354026986314,i-theta_j-gamma
532RL,0.2806506511028915,0.11101312096470291,2.5280854070585543,i-theta_j-gamma
5411,0.42019761616669504,0.24426283441450816,1.7202683215148065,i-theta_j-gamma
5412OP,0.5987463922629479,0.2023220707992342,2.9593725978471657,i-theta_j-gamma
5415,0.8002563490523632,0.25016235413851656,3.198947946457427,i-theta_j-gamma
55,0.618391399455398,0.21435673678720749,2.884870374143066,i-theta_j-gamma
561,0.3584435043534087,0.12078804475900853,2.967541241921424,i-theta_j-gamma
562,0.06719040200268475,0.18902230708871548,0.35546281831778564,i-theta_j-gamma
61,0.41201956071268175,0.1404412214631158,2.9337509060392986,i-theta_j-gamma
621,0.7788645831106741,0.13600117867090744,5.726895830773297,i-theta_j-gamma
622,0.05229150494341376,0.10027844110564381,0.5214630818634727,i-theta_j-gamma
623,0.1876329184627151,0.13044514894398945,1.4384047239907782,i-theta_j-gamma
624,2.5579396513977866,0.47840021803297206,5.346861382955075,i-theta_j-gamma
711AS,0.5437483285534404,0.3051725724669919,1.7817732575303873,i-theta_j-gamma
713,0.15619404151038258,0.09259040014579488,1.6869355922907343,i-theta_j-gamma
721,0.11243984475838474,0.12503787499601363,0.8992462864709551,i-theta_j-gamma
722,0.23652442199787613,0.08636080611496162,2.738793587487129,i-theta_j-gamma
81,0.14857085218516675,0.09063515843639516,1.639218761772552,i-theta_j-gamma
HS,2.282222293706063,0.7395243002768168,3.0860680208233693,i-theta_j-gamma
ORE,4.7827945943691746e-05,0.2682233297551846,0.0001783138923349648,i-theta_j-gamma
common,0.2902744384083526,0.02164472341704317,13.410863831126111,uniform
111CA,0.3574684019572372,0.11328355913748839,3.1555188120757225,commongamma
